title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,na_sales_proportion,jp_sales_proportion,pal_sales_proportion,other_sales_proportion
Call of Duty: WWII,PS4,Shooter,Activision,Sledgehammer Games,8.1,13.4,4.67,0.4,6.21,2.12,2017-11-03,0.3485074626865671,0.029850746268656716,0.4634328358208955,0.1582089552238806
Call of Duty: Modern Warfare 3,PS3,Shooter,Activision,Infinity Ward,8.8,13.35,5.54,0.49,5.78,1.54,2011-11-08,0.4149812734082397,0.03670411985018727,0.4329588014981274,0.1153558052434457
Grand Theft Auto III,PS2,Action,Rockstar Games,DMA Design,9.5,13.1,6.99,0.3,4.51,1.3,2001-10-23,0.5335877862595421,0.022900763358778626,0.34427480916030534,0.09923664122137406
Call of Duty: Black Ops,PS3,Shooter,Activision,Treyarch,8.7,12.67,6.01,0.48,4.4,1.78,2010-11-09,0.47434885556432516,0.03788476716653512,0.3472770323599053,0.14048934490923443
FIFA 18,PS4,Sports,EA Sports,EA Vancouver,8.3,11.8,1.27,0.15,8.64,1.73,2017-09-29,0.10762711864406779,0.01271186440677966,0.7322033898305085,0.14661016949152542
Grand Theft Auto IV,X360,Action,Rockstar Games,Rockstar North,10.0,11.09,6.8,0.14,3.11,1.04,2008-04-29,0.6131650135256989,0.012623985572587919,0.28043282236248873,0.09377817853922453
FIFA 17,PS4,Sports,Electronic Arts,EA Canada,8.9,10.94,1.26,0.12,7.95,1.61,2016-09-27,0.11517367458866545,0.010968921389396709,0.726691042047532,0.14716636197440586
Call of Duty: Modern Warfare 2,PS3,Shooter,Activision,Infinity Ward,9.5,10.61,4.99,0.38,3.66,1.59,2009-11-10,0.470311027332705,0.03581526861451461,0.3449575871819039,0.14985862393967955
Grand Theft Auto IV,PS3,Action,Rockstar Games,Rockstar North,10.0,10.57,4.79,0.44,3.73,1.62,2008-04-29,0.4531693472090823,0.04162724692526017,0.3528855250709555,0.1532639545884579
Call of Duty: Ghosts,X360,Shooter,Activision,Infinity Ward,6.9,10.41,6.76,0.04,2.64,0.98,2013-11-05,0.6493756003842459,0.0038424591738712775,0.25360230547550433,0.09414024975984629
